benchmark,task_id,harness,model,score,passed,origin,source
WildClawBench,05_Creative_Synthesis_task_2_goal_highlights,OpenClaw,Claude Fable 5,0.769,,官方公开记录,assets/wild/claude_fable5/05_Creative_Synthesis_task_2_goal_highlights/score.json
WildClawBench,05_Creative_Synthesis_task_2_goal_highlights,OpenClaw,Qwen3.8-Max,0.0,,官方公开记录,assets/wild/qwen3.8-max/05_Creative_Synthesis_task_2_goal_highlights/score.json
WildClawBench,05_Creative_Synthesis_task_11_video_en_to_zh_dub,OpenClaw,Claude Fable 5,0.5614,,官方公开记录,assets/wild/claude_fable5/05_Creative_Synthesis_task_11_video_en_to_zh_dub/score.json
WildClawBench,05_Creative_Synthesis_task_11_video_en_to_zh_dub,OpenClaw,Qwen3.8-Max,0.5586,,官方公开记录,assets/wild/qwen3.8-max/05_Creative_Synthesis_task_11_video_en_to_zh_dub/score.json
WildClawBench,05_Creative_Synthesis_task_6_clothing_outfit_to_model_image,OpenClaw,Claude Fable 5,0.907,,官方公开记录,assets/wild/claude_fable5/05_Creative_Synthesis_task_6_clothing_outfit_to_model_image/score.json
WildClawBench,05_Creative_Synthesis_task_6_clothing_outfit_to_model_image,OpenClaw,Qwen3.8-Max,0.987,,官方公开记录,assets/wild/qwen3.8-max/05_Creative_Synthesis_task_6_clothing_outfit_to_model_image/score.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,claude-opus-4.8,0.96,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,claude-sonnet-4.6,0.97,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,gemini-3-flash-preview,0.8,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,gemini-3.1-flash-lite-preview,0.8,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,gemini-3.1-pro-preview,0.96,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,gpt-4.1,0.97,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,gpt-5.4,0.96,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,gpt-5.4-mini,0.97,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,kimi-k2.6,1.0,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw,qwen3.5-plus,0.97,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,nanobot,claude-opus-4.8,0.0,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,nanobot,gpt-5.4,0.3,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,nanobot,kimi-k2.6,1.0,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw_edict,claude-opus-4.8,0.98,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw_edict,gpt-5.4,0.45,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_12_meeting_notes_synthesis,openclaw_edict,kimi-k2.6,1.0,True,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,claude-opus-4.8,0.0,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,claude-sonnet-4.6,0.56,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,gemini-3-flash-preview,0.45,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,gemini-3.1-flash-lite-preview,0.13,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,gemini-3.1-pro-preview,0.75,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,gpt-4.1,0.15,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,gpt-5.4,0.15,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,gpt-5.4-mini,0.12,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,kimi-k2.6,0.5,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw,qwen3.5-plus,0.72,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,nanobot,claude-opus-4.8,0.3,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,nanobot,gpt-5.4,0.3,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,nanobot,kimi-k2.6,0.0,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw_edict,claude-opus-4.8,0.84,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw_edict,gpt-5.4,0.24,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_31_bye_bye_love_lrc,openclaw_edict,kimi-k2.6,0.1,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,claude-opus-4.8,0.7,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,claude-sonnet-4.6,0.45,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,gemini-3-flash-preview,0.35,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,gemini-3.1-flash-lite-preview,0.4,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,gemini-3.1-pro-preview,0.45,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,gpt-4.1,0.2,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,gpt-5.4,0.3,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,gpt-5.4-mini,0.19,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,kimi-k2.6,0.7,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw,qwen3.5-plus,0.5,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,nanobot,claude-opus-4.8,0.2,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,nanobot,gpt-5.4,0.2,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,nanobot,kimi-k2.6,0.0,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw_edict,claude-opus-4.8,0.7,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw_edict,gpt-5.4,0.35,False,官方公开记录,https://uniclawbench.github.io/results.json
UniClawBench,task_104_36_his_girl_friday_dialogue_subtitles,openclaw_edict,kimi-k2.6,0.45,False,官方公开记录,https://uniclawbench.github.io/results.json
